Energy_kV, Spectrum_fraction
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,2
15,4
16,7
17,14
18,22
19,29
20,38
21,46
22,54
23,67
24,80
25,91
26,103
27,111
28,121
29,128
30,137
31,142
32,149
33,154
34,156
35,162
36,165
37,166
38,166
39,167
40,164
41,162
42,163
43,160
44,158
45,159
46,157
47,155
48,153
49,152
50,150
51,147
52,144
53,141
54,138
55,135
56,133
57,200
58,267
59,327
60,381
61,262
62,142
63,126
64,110
65,107
66,102
67,144
68,183
69,154
70,125
71,96
72,69
73,66
74,65
75,62
76,66
77,65
78,64
79,62
80,61
81,60
82,57
83,53
84,50
85,49
86,48
87,47
88,46
89,45
90,44
91,43
92,44
93,43
94,42
95,41
96,40
97,38
98,36
99,36
100,36
101,34
102,32
103,32
104,34
105,31
106,29
107,28
108,27
109,26
110,25
111,24
112,24
113,24
114,24
115,23
116,21
117,21
118,20
119,19
120,19
121,17
122,16
123,17
124,16
125,16
126,16
127,15
128,13
129,0
130,13
131,0
132,11
133,2
134,2
135,1
136,1
137,1
138,1
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
